wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
638,0.432,3.812,14.48,0.544,0.60389,0.061736,0.061086
639,0.423,3.777,14.1,0.5213,0.59946,0.061611,0.060838
640,0.416,3.744,13.66,0.5,0.59513,0.061487,0.06059
641,0.4098,3.711,13.17,0.4813,0.59093,0.061363,0.060343
642,0.404,3.68,12.63,0.464,0.58687,0.06124,0.060096
643,0.399,3.653,12.05,0.4472,0.58295,0.061117,0.05985
644,0.396,3.628,11.44,0.432,0.57919,0.060996,0.059604
645,0.3958,3.604,10.8,0.4195,0.57557,0.060874,0.059359
646,0.396,3.58,10.16,0.408,0.57209,0.060754,0.059115
647,0.3943,3.558,9.54,0.3958,0.56874,0.060634,0.058872
648,0.392,3.536,8.956,0.384,0.56552,0.060515,0.058629
649,0.3912,3.513,8.415,0.3738,0.56242,0.060397,0.058388
650,0.392,3.492,7.884,0.364,0.55944,0.06028,0.058147
651,0.394,3.474,7.34,0.3537,0.55656,0.060164,0.057908
652,0.396,3.456,6.816,0.344,0.55379,0.060049,0.05767
653,0.3967,3.435,6.343,0.336,0.55111,0.059934,0.057433
654,0.396,3.408,5.872,0.328,0.54851,0.059821,0.057197
655,0.3941,3.374,5.364,0.3183,0.546,0.059708,0.056962
656,0.392,3.344,4.908,0.308,0.54357,0.059596,0.056729
657,0.3909,3.327,4.586,0.2984,0.54121,0.059486,0.056497
658,0.392,3.312,4.332,0.2899,0.53891,0.059377,0.056267
659,0.3957,3.289,4.064,0.2824,0.53666,0.059268,0.056039
660,0.4,3.26,3.78,0.276,0.53447,0.059161,0.055812
661,0.4028,3.229,3.5,0.2703,0.53232,0.059055,0.055587
662,0.404,3.196,3.232,0.264,0.53021,0.05895,0.055364
663,0.4043,3.163,2.985,0.256,0.52813,0.058846,0.055142
664,0.404,3.128,2.76,0.248,0.52607,0.058744,0.054923
665,0.4036,3.091,2.56,0.2416,0.52403,0.058643,0.054706
666,0.404,3.052,2.384,0.236,0.522,0.058543,0.05449
667,0.406,3.013,2.231,0.2301,0.51998,0.058444,0.054277
668,0.408,2.972,2.092,0.224,0.51796,0.058347,0.054066
669,0.4085,2.929,1.959,0.218,0.51593,0.058251,0.053857
670,0.408,2.884,1.836,0.212,0.51389,0.058156,0.053651
671,0.4075,2.84,1.729,0.206,0.51183,0.058063,0.053447
672,0.408,2.796,1.636,0.2,0.50974,0.057972,0.053245
673,0.41,2.752,1.553,0.1939,0.50761,0.057882,0.053046
674,0.412,2.708,1.48,0.188,0.50545,0.057793,0.052849
675,0.4124,2.664,1.415,0.1823,0.50325,0.057706,0.052656
676,0.412,2.62,1.356,0.1769,0.50099,0.05762,0.052465
677,0.4119,2.576,1.302,0.1717,0.49867,0.057536,0.052276
678,0.412,2.532,1.252,0.1666,0.49629,0.057454,0.052091
679,0.412,2.49,1.207,0.1618,0.49383,0.057373,0.051908
680,0.412,2.448,1.168,0.157,0.4913,0.057294,0.051729
681,0.412,2.406,1.136,0.1523,0.48868,0.057217,0.051552
682,0.412,2.364,1.108,0.1477,0.48598,0.057141,0.051379
683,0.412,2.324,1.081,0.1432,0.48319,0.057067,0.051209
684,0.412,2.284,1.056,0.1388,0.48033,0.056995,0.051042
685,0.412,2.244,1.033,0.1345,0.47739,0.056925,0.050879
686,0.412,2.204,1.012,0.1303,0.47439,0.056856,0.050719
687,0.412,2.167,0.995,0.1262,0.47134,0.056789,0.050562
688,0.412,2.132,0.98,0.1221,0.46823,0.056725,0.050409
689,0.412,2.098,0.9653,0.1183,0.46508,0.056662,0.050259
690,0.412,2.064,0.952,0.1145,0.46188,0.056601,0.050113
691,0.4121,2.031,0.9412,0.1108,0.45866,0.056542,0.049971
692,0.412,2,0.932,0.1073,0.45541,0.056485,0.049833
693,0.4116,1.97,0.9235,0.1039,0.45214,0.05643,0.049698
694,0.412,1.94,0.916,0.1006,0.44886,0.056377,0.049567
695,0.4141,1.911,0.9099,0.09746,0.44558,0.056327,0.049441
696,0.416,1.884,0.904,0.09447,0.44229,0.056278,0.049318
697,0.4161,1.86,0.8975,0.09163,0.43901,0.056231,0.0492
698,0.416,1.836,0.892,0.08893,0.43575,0.056187,0.049085
699,0.4174,1.812,0.8892,0.08639,0.4325,0.056145,0.048975
700,0.42,1.788,0.888,0.084,0.42928,0.056105,0.04887
701,0.4226,1.765,0.8867,0.08178,0.4261,0.056067,0.048768
702,0.424,1.744,0.884,0.07971,0.42295,0.056032,0.048671
